文件名,文件路径,鼓类型,类型置信度(%),鼓机型号,型号置信度(%),结果组合,类型候选1,类型候选1置信度(%),类型候选2,类型候选2置信度(%),类型候选3,类型候选3置信度(%),机型候选1,机型候选1置信度(%),机型候选2,机型候选2置信度(%),机型候选3,机型候选3置信度(%),处理时间
808_Cymbal_5.wav,samples/808_Cymbal_5.wav,Cymbal,41.04,808,65.29,Cymbal_808,Cymbal,41.04,Snare,16.04,Kick,14.77,808,65.29,Linn,34.71,,,2025-04-04 12:36:05
808_Cymbal_4.wav,samples/808_Cymbal_4.wav,Cymbal,40.73,808,65.45,Cymbal_808,Cymbal,40.73,Snare,16.07,Kick,14.87,808,65.45,Linn,34.55,,,2025-04-04 12:36:05
808_Cymbal_6.wav,samples/808_Cymbal_6.wav,Cymbal,41.43,808,64.99,Cymbal_808,Cymbal,41.43,Snare,16.46,Kick,14.68,808,64.99,Linn,35.01,,,2025-04-04 12:36:05
808_Cymbal_7.wav,samples/808_Cymbal_7.wav,Cymbal,42.86,808,65.41,Cymbal_808,Cymbal,42.86,Snare,15.37,Kick,14.48,808,65.41,Linn,34.59,,,2025-04-04 12:36:05
808_Cymbal_3.wav,samples/808_Cymbal_3.wav,Cymbal,39.78,808,64.29,Cymbal_808,Cymbal,39.78,Snare,16.18,Kick,15.25,808,64.29,Linn,35.71,,,2025-04-04 12:36:05
808_Cymbal_2.wav,samples/808_Cymbal_2.wav,Cymbal,41.53,808,65.67,Cymbal_808,Cymbal,41.53,Snare,15.79,Kick,14.72,808,65.67,Linn,34.33,,,2025-04-04 12:36:06
808_Cymbal_1.wav,samples/808_Cymbal_1.wav,Cymbal,40.24,808,65.22,Cymbal_808,Cymbal,40.24,Snare,16.15,Kick,15.24,808,65.22,Linn,34.78,,,2025-04-04 12:36:06
808_Cymbal_15.wav,samples/808_Cymbal_15.wav,Cymbal,41.04,808,65.29,Cymbal_808,Cymbal,41.04,Snare,16.04,Kick,14.77,808,65.29,Linn,34.71,,,2025-04-04 12:36:06
Linn_Kick_4.wav,samples/Linn_Kick_4.wav,Kick,54.02,Linn,71.88,Kick_Linn,Kick,54.02,Perc,12.11,Snare,11.66,Linn,71.88,808,28.12,,,2025-04-04 12:36:06
808_Perc_3.wav,samples/808_Perc_3.wav,Perc,55.10,808,67.14,Perc_808,Perc,55.10,Snare,14.30,Cymbal,10.57,808,67.14,Linn,32.86,,,2025-04-04 12:36:06
808_Snare_9.wav,samples/808_Snare_9.wav,Snare,58.70,808,54.89,Snare_808,Snare,58.70,Perc,12.34,Kick,10.19,808,54.89,Linn,45.11,,,2025-04-04 12:36:06
Linn_Tom_2.wav,samples/Linn_Tom_2.wav,Perc,51.98,Linn,75.21,Perc_Linn,Perc,51.98,Tom,14.86,Snare,11.74,Linn,75.21,808,24.79,,,2025-04-04 12:36:06
